attributes;appearances
Define content of responses in refs in /responses/REQUEST_TIMEOUT_408_PIS or directly in the 408 response in GET operation.;6
Define content of responses in refs in /responses/UNSUPPORTED_MEDIA_TYPE_415_PIS or directly in the 415 response in GET operation.;6
Define content of responses in refs in /responses/TOO_MANY_REQUESTS_429_PIS or directly in the 429 response in GET operation.;6
Define content of responses in refs in /responses/INTERNAL_SERVER_ERROR_500_PIS or directly in the 500 response in GET operation.;6
Define content of responses in refs in /responses/SERVICE_UNAVAILABLE_503_PIS or directly in the 503 response in GET operation.;6
Define content of responses in refs in /responses/NOT_ACCEPTABLE_406_PIS or directly in the 406 response in DELETE operation.;1
Define content of responses in refs in /responses/REQUEST_TIMEOUT_408_PIS or directly in the 408 response in DELETE operation.;1
Define content of responses in refs in /responses/UNSUPPORTED_MEDIA_TYPE_415_PIS or directly in the 415 response in DELETE operation.;1
Define content of responses in refs in /responses/TOO_MANY_REQUESTS_429_PIS or directly in the 429 response in DELETE operation.;1
Define content of responses in refs in /responses/INTERNAL_SERVER_ERROR_500_PIS or directly in the 500 response in DELETE operation.;1
Define content of responses in refs in /responses/SERVICE_UNAVAILABLE_503_PIS or directly in the 503 response in DELETE operation.;1
Define content of responses in refs in /responses/NOT_ACCEPTABLE_406_PIS or directly in the 406 response in PUT operation.;2
Define content of responses in refs in /responses/REQUEST_TIMEOUT_408_PIS or directly in the 408 response in PUT operation.;2
Define content of responses in refs in /responses/UNSUPPORTED_MEDIA_TYPE_415_PIS or directly in the 415 response in PUT operation.;2
Define content of responses in refs in /responses/TOO_MANY_REQUESTS_429_PIS or directly in the 429 response in PUT operation.;2
Define content of responses in refs in /responses/INTERNAL_SERVER_ERROR_500_PIS or directly in the 500 response in PUT operation.;2
Define content of responses in refs in /responses/SERVICE_UNAVAILABLE_503_PIS or directly in the 503 response in PUT operation.;2
Define content of responses in refs in /responses/UnauthorizedResponse or directly in the 401 response in GET operation.;8
Define content of responses in refs in /responses/UnauthorizedResponse or directly in the 401 response in DELETE operation.;1
Define content of responses in refs in /responses/UnauthorizedResponse or directly in the 401 response in PATCH operation.;1
Define content of responses in refs in /responses/UnprocessableEntityResponse or directly in the 422 response in GET operation.;3
Define content of responses in refs in /responses/UnauthorizedResponse or directly in the 401 response in POST operation.;17
Define content of responses in refs in /responses/UnprocessableEntityResponse or directly in the 422 response in POST operation.;14
Define content of responses in refs in /responses/NotFoundResponse or directly in the 404 response in GET operation.;6
Define content of responses in refs in /responses/NotFoundResponse or directly in the 404 response in POST operation.;11
Specify content type of parameter in the GET-operation;3
Specify content type of parameter in the DELETE-operation;3
Specify content type in 206 response in GET operation;1
Specify content type in 303 response in DELETE operation;1
Specify content type in 304 response in DELETE operation;1
Define content of responses in refs in /responses/user-not-found or directly in the 404 response in GET operation.;14
Define content of responses in refs in /responses/400 or directly in the 400 response in PATCH operation.;6
Define content of responses in refs in /responses/401 or directly in the 401 response in PATCH operation.;6
Define content of responses in refs in /responses/403 or directly in the 403 response in PATCH operation.;6
Define content of responses in refs in /responses/user-not-found or directly in the 404 response in PATCH operation.;4
Define content of responses in refs in /responses/500 or directly in the 500 response in PATCH operation.;6
Define content of responses in refs in /responses/team-not-found or directly in the 404 response in GET operation.;7
Define content of responses in refs in /responses/team-not-found or directly in the 404 response in POST operation.;2
Define content of responses in refs in /responses/team-not-found or directly in the 404 response in DELETE operation.;2
Define content of responses in refs in /responses/team-not-found or directly in the 404 response in PUT operation.;1
Define content of responses in refs in /responses/user-not-found or directly in the 404 response in POST operation.;3
Define content of responses in refs in /responses/user-not-found or directly in the 404 response in DELETE operation.;4
Define content of responses in refs in /responses/user-not-found or directly in the 404 response in PUT operation.;2
Specify content type in 412 response in PUT operation;2
